"o1"	"name"	"birthYear"
"http://dbpedia.org/resource/Andrea_Dworkin"	"Bennington College"	1946
"http://dbpedia.org/resource/Paula_Hyman"	"Columbia University"	1946
"http://dbpedia.org/resource/Paula_Hyman"	"Harvard University"	1946
"http://dbpedia.org/resource/Jessica_Benjamin"	"Goethe University Frankfurt"	1946
"http://dbpedia.org/resource/Jessica_Benjamin"	"New York University"	1946
"http://dbpedia.org/resource/Jessica_Benjamin"	"University of Wisconsin, Madison"	1946
"http://dbpedia.org/resource/Tansu_Çiller"	"Boğaziçi University"	1946
"http://dbpedia.org/resource/Aruna_Roy"	"Delhi University"	1946
"http://dbpedia.org/resource/Tansu_Çiller"	"University of Connecticut"	1946
"http://dbpedia.org/resource/Kamla_Bhasin"	"University of Münster"	1946
"http://dbpedia.org/resource/Tansu_Çiller"	"University of New Hampshire"	1946
"http://dbpedia.org/resource/Chaviva_Hošek"	"McGill University"	1946
