"annee_naissance","fk_lieu","lieu_naissance","geo_coord"
1851,http://www.wikidata.org/entity/Q272243,Saint-Josse-ten-Noode,Point(4.369166666 50.850833333)
1851,http://www.wikidata.org/entity/Q270,Warsaw,Point(21.011111111 52.23)
1851,http://www.wikidata.org/entity/Q3489,Harburg,Point(9.982672222 53.459258333)
1851,http://www.wikidata.org/entity/Q394729,Toropetsky District,Point(31.6333 56.5)
1851,http://www.wikidata.org/entity/Q2766547,'s-Hertogenbosch,Point(5.316666666 51.7)
1851,http://www.wikidata.org/entity/Q2463831,Coulsdon,Point(-0.1386 51.3211)
1851,http://www.wikidata.org/entity/Q6389431,Kenley,Point(-0.0969 51.3242)
1852,http://www.wikidata.org/entity/Q15812696,Grabow bei Blumenthal,Point(12.398147 53.076002)
1852,http://www.wikidata.org/entity/Q10495587,Finnish church parish,Point(18.072222222 59.325555555)
1852,http://www.wikidata.org/entity/Q2704676,Nijland,Point(5.5756 53.0508)
1852,http://www.wikidata.org/entity/Q372075,Raisio,Point(22.169444444 60.486111111)
1852,http://www.wikidata.org/entity/Q813395,Beaufort West,Point(22.583333333 -32.35)
1852,http://www.wikidata.org/entity/Q26793,Bergen,Point(5.323333333 60.3925)
1852,http://www.wikidata.org/entity/Q141873,Saint-Hyacinthe,Point(-72.95 45.616666666)
1852,http://www.wikidata.org/entity/Q12306301,Christinelund,Point(12.0751 55.1191)
1853,http://www.wikidata.org/entity/Q90,Paris,Point(2.352222222 48.856666666)
1853,http://www.wikidata.org/entity/Q12892,Antwerp,Point(4.399722222 51.221111111)
1853,http://www.wikidata.org/entity/Q2048321,Varde,Point(8.480555555 55.62)
1853,http://www.wikidata.org/entity/Q1711,Potsdam,Point(13.066666666 52.4)
1853,http://www.wikidata.org/entity/Q1748,Copenhagen,Point(12.568888888 55.676111111)
1853,http://www.wikidata.org/entity/Q13364,Ravenna,Point(12.201666666 44.416111111)
1853,http://www.wikidata.org/entity/Q4968362,Furnes,Point(11.0211 60.8406)
1853,http://www.wikidata.org/entity/Q646502,Kälviä,Point(23.45289 63.86067)
1853,http://www.wikidata.org/entity/Q9938,Hoorn,Point(5.073333333 52.653333333)
1853,http://www.wikidata.org/entity/Q325736,Ciacova,Point(21.133333333 45.5)
1853,http://www.wikidata.org/entity/Q4849480,Bakklandet,Point(10.40444444 63.42972222)
1853,http://www.wikidata.org/entity/Q10543880,Karlskrona city community,Point(15.588055555 56.161111111)
1853,http://www.wikidata.org/entity/Q656,Saint Petersburg,Point(30.316666666 59.95)
1853,http://www.wikidata.org/entity/Q1757,Helsinki,Point(24.9375 60.170833333)
1853,http://www.wikidata.org/entity/Q2074822,Hvilsager Parish,Point(10.34861111 56.37)
1853,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
1854,http://www.wikidata.org/entity/Q552628,Plaue,Point(10.898888888 50.779444444)
1854,http://www.wikidata.org/entity/Q1085,Prague,Point(14.421388888 50.0875)
1854,http://www.wikidata.org/entity/Q1741,Vienna,Point(16.3725 48.208333333)
1854,http://www.wikidata.org/entity/Q90,Paris,Point(2.352222222 48.856666666)
1854,http://www.wikidata.org/entity/Q2056073,Sappemeer,Point(6.7767 53.1633)
